Country code, Latitude, Longitude, Total mentions, Country name, Region, Continent
MDV, Latitude: 3.25, Longitude: 73, Maldives, Southern and Central Asia, Asia
MWI, Latitude: -13.5, Longitude: 34, Malawi, Eastern Africa, Africa
DJI, Latitude: 11.5, Longitude: 43, Djibouti, Eastern Africa, Africa
BEN, Latitude: 9.5, Longitude: 2.25, Benin, Western Africa, Africa
SOM, Latitude: 10, Longitude: 49, Somalia, Eastern Africa, Africa
ZMB, Latitude: -15, Longitude: 30, Zambia, Eastern Africa, Africa
CPV, Latitude: 16, Longitude: -24, Cape Verde, Western Africa, Africa
BHS, Latitude: 24.25, Longitude: -76, Bahamas, Caribbean, North America
KWT, Latitude: 29.3375, Longitude: 47.6581, Kuwait, Middle East, Asia
UGA, Latitude: 1, Longitude: 32, Uganda, Eastern Africa, Africa
COM, Latitude: -12.1667, Longitude: 44.25, Comoros, Eastern Africa, Africa
ZAF, Latitude: -29, Longitude: 24, South Africa, Southern Africa, Africa
LBN, Latitude: 33.8333, Longitude: 35.8333, Lebanon, Middle East, Asia
SLE, Latitude: 8.5, Longitude: -11.5, Sierra Leone, Western Africa, Africa
KOR, Latitude: 37, Longitude: 127.5, South Korea, Eastern Asia, Asia
BIH, Latitude: 44, Longitude: 18, Bosnia and Herzegovina, Southern Europe, Europe
TON, Latitude: -20, Longitude: -175, Tonga, Polynesia, Oceania
EU, European Union, Western Europe
HRV, Latitude: 45.1667, Longitude: 15.5, Croatia, Southern Europe, Europe
NRU, Latitude: -0.5333, Longitude: 166.9167, Nauru, Micronesia, Oceania
TUV, Latitude: -8, Longitude: 178, Tuvalu, Polynesia, Oceania
NAM, Latitude: -22, Longitude: 17, Namibia, Southern Africa, Africa
SMR, Latitude: 43.7667, Longitude: 12.4167, San Marino, Southern Europe, Europe
LIE, Latitude: 47.1667, Longitude: 9.5333, Liechtenstein, Western Europe, Europe
MKD, Latitude: 41.8333, Longitude: 22, Macedonia, Southern Europe, Europe
TLS, Latitude: -8.55, Longitude: 125.5167, East Timor, Southeast Asia, Asia
FSM, Latitude: 6.9167, Longitude: 158.25, Micronesia, Federated States of, Micronesia, Oceania
KIR, Latitude: 1.4167, Longitude: 173, Kiribati, Micronesia, Oceania
BTN, Latitude: 27.5, Longitude: 90.5, Bhutan, Southern and Central Asia, Asia
SVK, Latitude: 48.6667, Longitude: 19.5, Slovakia, Eastern Europe, Europe
WSM, Latitude: -13.5833, Longitude: -172.3333, Samoa, Polynesia, Oceania
MNE, Latitude: 42, Longitude: 19, Montenegro, Eastern Europe, Europe
GEO, Latitude: 42, Longitude: 43.5, Georgia, Middle East, Asia
LTU, Latitude: 56, Longitude: 24, Lithuania, Baltic Countries, Europe
AND, Latitude: 42.5, Longitude: 1.6, Andorra, Southern Europe, Europe
TJK, Latitude: 39, Longitude: 71, Tajikistan, Southern and Central Asia, Asia
MHL, Latitude: 9, Longitude: 168, Marshall Islands, Micronesia, Oceania
EST, Latitude: 59, Longitude: 26, Estonia, Baltic Countries, Europe
LVA, Latitude: 57, Longitude: 25, Latvia, Baltic Countries, Europe
CAF, Latitude: 7, Longitude: 21, Central African Republic, Central Africa, Africa
TKM, Latitude: 40, Longitude: 60, Turkmenistan, Southern and Central Asia, Asia
MDA, Latitude: 47, Longitude: 29, Moldova, Eastern Europe, Europe
SSD, South Sudan, Northern Africa
KGZ, Latitude: 41, Longitude: 75, Kyrgyzstan, Southern and Central Asia, Asia
AZE, Latitude: 40.5, Longitude: 47.5, Azerbaijan, Middle East, Asia
PSE, Latitude: 32, Longitude: 35.25, Palestine, Middle East, Asia
PRK, Latitude: 40, Longitude: 127, North Korea, Eastern Asia, Asia
CZE, Latitude: 49.75, Longitude: 15.5, Czech Republic, Eastern Europe, Europe
ERI, Latitude: 15, Longitude: 39, Eritrea, Eastern Africa, Africa
ARM, Latitude: 40, Longitude: 45, Armenia, Middle East, Asia
UZB, Latitude: 41, Longitude: 64, Uzbekistan, Southern and Central Asia, Asia
PLW, Latitude: 7.5, Longitude: 134.5, Palau, Micronesia, Oceania
VAT, Latitude: 41.9, Longitude: 12.45, Holy See (Vatican City State), Southern Europe, Europe
MCO, Latitude: 43.7333, Longitude: 7.4, Monaco, Western Europe, Europe
CHE, Latitude: 47, Longitude: 8, Switzerland, Western Europe, Europe
KAZ, Latitude: 48, Longitude: 68, Kazakstan, Southern and Central Asia, Asia
SVN, Latitude: 46, Longitude: 15, Slovenia, Southern Europe, Europe
